"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"SLC7A5.1",0,3.88318492878475,0.564,0.003,0,"Brain","SLC7A5","Up","SLC7A5"
"SEMA5A.1",0,3.62969580516756,0.426,0.02,0,"Brain","SEMA5A","Up","SEMA5A"
"ABCB1.1",0,3.55977330101041,0.45,0.008,0,"Brain","ABCB1","Up","ABCB1"
"ITIH5.1",0,3.50902384034206,0.426,0.006,0,"Brain","ITIH5","Up","ITIH5"
"ATP1A2",0,3.40793246575145,0.361,0.001,0,"Brain","ATP1A2","Up","ATP1A2"
"SLC7A1.1",0,3.39166402693124,0.545,0.019,0,"Brain","SLC7A1","Up","SLC7A1"
"ITM2A.1",0,3.37502335168798,0.674,0.075,0,"Brain","ITM2A","Up","ITM2A"
"TFRC.1",0,3.24925389474681,0.473,0.012,0,"Brain","TFRC","Up","TFRC"
"SLC38A5",0,3.11751259867549,0.412,0.001,0,"Brain","SLC38A5","Up","SLC38A5"
"SLC39A10.1",0,3.08989987899138,0.553,0.048,0,"Brain","SLC39A10","Up","SLC39A10"
"PTN.1",0,3.06922401621022,0.41,0.013,0,"Brain","PTN","Up","PTN"
"CDH2.1",0,3.03520119984301,0.442,0.012,0,"Brain","CDH2","Up","CDH2"
"NOTCH3",0,2.96255316816486,0.355,0.017,0,"Brain","NOTCH3","Up","NOTCH3"
"MFSD2A",0,2.93035566876542,0.393,0.001,0,"Brain","MFSD2A","Up","MFSD2A"
"ABCC9",0,2.8510917842668,0.311,0.005,0,"Brain","ABCC9","Up","ABCC9"
"PDGFRB",0,2.85047174027317,0.322,0.012,0,"Brain","PDGFRB","Up","PDGFRB"
"LEF1.1",0,2.80019978484228,0.415,0.017,0,"Brain","LEF1","Up","LEF1"
"CDH6",0,2.70783903746642,0.352,0.003,0,"Brain","CDH6","Up","CDH6"
"SLC2A1.1",0,2.70229257227329,0.485,0.03,0,"Brain","SLC2A1","Up","SLC2A1"
"CTD-3179P9.1",0,2.62370775060465,0.277,0.018,0,"Brain","CTD-3179P9.1","Up","CTD-3179P9.1"
"EDNRA",0,2.58674316849631,0.278,0.009,0,"Brain","EDNRA","Up","EDNRA"
"CCDC3",0,2.55462303728057,0.33,0.018,0,"Brain","CCDC3","Up","CCDC3"
"NTM",0,2.52470446286493,0.304,0.008,0,"Brain","NTM","Up","NTM"
"RGS5.1",0,2.46051223707038,0.453,0.05,0,"Brain","RGS5","Up","RGS5"
"COBLL1.1",0,2.45783645321373,0.512,0.059,0,"Brain","COBLL1","Up","COBLL1"
"BGN.1",0,2.45688947448034,0.432,0.045,0,"Brain","BGN","Up","BGN"
