"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"PBX1",0,1.43392160864714,0.392,0.211,0,"Adrenal","PBX1","Up","PBX1"
"MEIS2",0,1.22707578700438,0.413,0.206,0,"Adrenal","MEIS2","Up","MEIS2"
"MEF2C",1.24378601014054e-125,0.715722243437688,0.364,0.305,7.90562825905426e-121,"Adrenal","MEF2C","Up","MEF2C"
"EPAS1",3.31869327831205e-44,0.342555688038423,0.382,0.352,2.10939463462792e-39,"Adrenal","EPAS1","No",NA
"RERE",1.64348488649932e-51,-0.156579099399365,0.277,0.359,1.04461542870783e-46,"Adrenal","RERE","No",NA
"ZFP36L1",3.74687505894099e-102,-0.182659548461725,0.263,0.377,2.38155125621348e-97,"Adrenal","ZFP36L1","No",NA
"TCF4",7.15888898160633e-163,-0.39872932678356,0.405,0.54,4.5502614255988e-158,"Adrenal","TCF4","No",NA
"NFIA",1.64936353843758e-277,-0.585908177110031,0.2,0.363,1.04835195866631e-272,"Adrenal","NFIA","Down","NFIA"
"NFIB",0,-0.6764287512493,0.278,0.47,0,"Adrenal","NFIB","Down","NFIB"
"FOXP1",0,-1.56498290380308,0.137,0.43,0,"Adrenal","FOXP1","Down","FOXP1"
"LEF1",0,2.06510270578596,0.438,0.061,0,"Cerebellum","LEF1","Up","LEF1"
"FOXC1",0,1.14685565866982,0.35,0.08,0,"Cerebellum","FOXC1","Up","FOXC1"
"EBF1",0,0.851509245082388,0.59,0.28,0,"Cerebellum","EBF1","Up","EBF1"
"DACH1",0,0.689806035534142,0.571,0.267,0,"Cerebellum","DACH1","Up","DACH1"
"ETS1",0,0.668671635942249,0.533,0.252,0,"Cerebellum","ETS1","Up","ETS1"
"MECOM",0,0.465186224318137,0.48,0.24,0,"Cerebellum","MECOM","No",NA
"ZFP36L1.1",1.47189548307573e-292,0.443859742409513,0.594,0.335,9.35551487997762e-288,"Cerebellum","ZFP36L1","No",NA
"NR3C1",4.22698829237861e-260,0.417691107324694,0.355,0.172,2.68671602851877e-255,"Cerebellum","NR3C1","No",NA
"FLI1",3.44157496311197e-227,0.389869183268849,0.414,0.221,2.1874994623036e-222,"Cerebellum","FLI1","No",NA
"NCOA1",5.20967674450363e-219,0.369235803353996,0.362,0.186,3.31132263557395e-214,"Cerebellum","NCOA1","No",NA
"CUX1",1.06450686021456e-212,0.34564121552488,0.38,0.2,6.76611205420977e-208,"Cerebellum","CUX1","No",NA
"TCF4.1",5.10349036222311e-147,0.266227547130924,0.715,0.498,3.24382950913263e-142,"Cerebellum","TCF4","No",NA
"ZEB1",4.42121378769724e-112,0.239250378643631,0.492,0.318,2.81016769559824e-107,"Cerebellum","ZEB1","No",NA
"EPAS1.1",8.41068575186447e-200,0.225339660950912,0.574,0.338,5.34591597074257e-195,"Cerebellum","EPAS1","No",NA
"SOX4",1.42642441612138e-197,0.218016400189956,0.37,0.195,9.06649623130911e-193,"Cerebellum","SOX4","No",NA
"RORA",1.30941589663613e-116,0.202037690450691,0.356,0.214,8.32277838060892e-112,"Cerebellum","RORA","No",NA
"NFIA.1",1.66128475022863e-111,0.143753987245275,0.499,0.318,1.05592920009282e-106,"Cerebellum","NFIA","No",NA
"MEF2A",8.04093977912945e-62,-0.0267401333879698,0.391,0.262,5.11090173301247e-57,"Cerebellum","MEF2A","No",NA
"TCF12",2.62936740528238e-35,-0.0326186575386469,0.447,0.326,1.67125221647153e-30,"Cerebellum","TCF12","No",NA
"FOXP1.1",1.35985412060136e-49,-0.0904842414822373,0.516,0.364,8.64336877595432e-45,"Cerebellum","FOXP1","No",NA
"RERE.1",2.1043797851885e-07,-0.349712357934736,0.425,0.337,0.0133756483526366,"Cerebellum","RERE","No",NA
"NFIB.1",2.40313495806406e-39,-0.789672484595946,0.446,0.434,1.5274566106951e-34,"Cerebellum","NFIB","Down","NFIB"
"LEF1.1",0,2.15172900580094,0.398,0.056,0,"Cerebrum","LEF1","Up","LEF1"
"EBF1.1",0,1.03822679389467,0.572,0.274,0,"Cerebrum","EBF1","Up","EBF1"
"ZEB1.1",0,0.710920354408286,0.531,0.309,0,"Cerebrum","ZEB1","Up","ZEB1"
"MECOM.1",0,0.710224488295947,0.465,0.235,0,"Cerebrum","MECOM","Up","MECOM"
"ETS1.1",0,0.608047855405875,0.487,0.25,0,"Cerebrum","ETS1","Up","ETS1"
"NCOA1.1",0,0.599193237582113,0.373,0.18,0,"Cerebrum","NCOA1","Up","NCOA1"
"TCF4.2",5.4161019138872e-248,0.469691680736029,0.696,0.494,3.44252853748584e-243,"Cerebrum","TCF4","No",NA
"FLI1.1",3.50106428917672e-235,0.452949566275002,0.389,0.219,2.22531147284362e-230,"Cerebrum","FLI1","No",NA
"DACH1.1",0,0.420775308298579,0.487,0.269,0,"Cerebrum","DACH1","No",NA
"ZFP36L1.2",4.64804810412438e-110,0.165569584903126,0.499,0.339,2.9543458554625e-105,"Cerebrum","ZFP36L1","No",NA
"NFIA.2",1.69733260189549e-84,0.0968164760633985,0.461,0.318,1.07884157509079e-79,"Cerebrum","NFIA","No",NA
"TCF12.1",7.29148696145358e-68,0.0908254132583228,0.451,0.322,4.63454202756951e-63,"Cerebrum","TCF12","No",NA
"FOXP1.2",1.39435803163683e-84,0.0675981902301239,0.51,0.361,8.86267908488689e-80,"Cerebrum","FOXP1","No",NA
"MEF2A.1",2.30720556946827e-55,0.0232191099354804,0.365,0.262,1.46648293200972e-50,"Cerebrum","MEF2A","No",NA
"EPAS1.2",1.0512524123231e-59,-0.0722007345822941,0.486,0.342,6.68186545796689e-55,"Cerebrum","EPAS1","No",NA
"MEF2C.1",5.42000452194541e-16,-0.221203519149375,0.39,0.307,3.44500907419372e-11,"Cerebrum","MEF2C","No",NA
"RERE.2",0.000350422632992552,-0.328778420855161,0.406,0.337,1,"Cerebrum","RERE","No",NA
"NFIB.2",1.90173876106519e-59,-0.741117550349008,0.424,0.436,1.20876417392065e-54,"Cerebrum","NFIB","Down","NFIB"
"FOXP1.3",2.59721357567003e-35,1.43907187609097,0.701,0.376,1.65081492083163e-30,"Eye","FOXP1","Up","FOXP1"
"BAZ2B",9.3832973361449e-08,0.990141421373241,0.37,0.245,0.00596411761982706,"Eye","BAZ2B","Up","BAZ2B"
"ZBTB20",1.33412441965204e-07,0.906709715071998,0.412,0.277,0.00847982822375034,"Eye","ZBTB20","Up","ZBTB20"
"ZEB1.2",4.32294322541871e-06,0.846672104052326,0.431,0.333,0.274770594350839,"Eye","ZEB1","No",NA
"MEF2C.2",0.00543146315291179,0.660556470082167,0.379,0.316,1,"Eye","MEF2C","No",NA
"EPAS1.3",6.64228497002835e-05,-0.555752598604144,0.209,0.357,1,"Eye","EPAS1","No",NA
"ZFP36L1.3",0.000424024455670174,-0.598902134181952,0.232,0.357,1,"Eye","ZFP36L1","No",NA
"NFIB.3",0,0.858406093161143,0.556,0.413,0,"Heart","NFIB","Up","NFIB"
"FOXP1.4",0.00179769429551066,0.100406941452097,0.373,0.377,1,"Heart","FOXP1","No",NA
"ZFP36L1.4",3.79009825917632e-07,0.00683108015926503,0.321,0.363,0.0240902435451506,"Heart","ZFP36L1","No",NA
"TCF4.3",1.33918769576161e-220,-0.375415418033043,0.366,0.542,8.51201091303037e-216,"Heart","TCF4","No",NA
"RERE.3",0,-0.869846938431629,0.177,0.374,0,"Heart","RERE","Down","RERE"
"TCF12.2",0,-0.880312675824252,0.169,0.366,0,"Heart","TCF12","Down","TCF12"
"ZEB1.3",0,-0.926513758846245,0.168,0.362,0,"Heart","ZEB1","Down","ZEB1"
"EPAS1.4",0,-1.11651075385834,0.177,0.389,0,"Heart","EPAS1","Down","EPAS1"
"EBF1.2",9.80336077841069e-82,0.923467387959477,0.51,0.302,6.23111414436562e-77,"Intestine","EBF1","Up","EBF1"
"MECOM.2",3.65908661482812e-68,0.732929053780941,0.454,0.256,2.3257520432509e-63,"Intestine","MECOM","Up","MECOM"
"RERE.4",2.00075781750204e-16,0.481543972767403,0.431,0.343,1.27170167638247e-11,"Intestine","RERE","No",NA
"TCF12.3",3.25507362989043e-10,0.348697271457213,0.402,0.335,2.06895734989465e-05,"Intestine","TCF12","No",NA
"TCF4.4",3.65030586312943e-17,0.297738036906034,0.616,0.514,2.3201709096637e-12,"Intestine","TCF4","No",NA
"NFIB.4",0.000151561429113579,0.134063081565261,0.477,0.434,1,"Intestine","NFIB","No",NA
"EPAS1.5",2.17528281891319e-25,-0.785120538745324,0.233,0.359,1.38263151252941e-20,"Intestine","EPAS1","Down","EPAS1"
"ZFP36L1.5",9.66794864680913e-62,-1.26905066484231,0.151,0.36,6.14504483939835e-57,"Intestine","ZFP36L1","Down","ZFP36L1"
"MEIS2.1",0,2.06102978412471,0.742,0.209,0,"Kidney","MEIS2","Up","MEIS2"
"RARB",0,1.8430671590275,0.41,0.071,0,"Kidney","RARB","Up","RARB"
"PBX1.1",0,1.54651264614015,0.597,0.219,0,"Kidney","PBX1","Up","PBX1"
"NPAS3",0,1.54085963999628,0.408,0.101,0,"Kidney","NPAS3","Up","NPAS3"
"NFAT5",0,1.47666445304974,0.533,0.21,0,"Kidney","NFAT5","Up","NFAT5"
"ZFHX3",0,1.07041744191471,0.397,0.163,0,"Kidney","ZFHX3","Up","ZFHX3"
"EBF1.3",0,0.849958357847972,0.562,0.287,0,"Kidney","EBF1","Up","EBF1"
"CUX1.1",2.36565490072952e-187,0.666805132475768,0.373,0.204,1.50363391145269e-182,"Kidney","CUX1","Up","CUX1"
"RERE.5",1.28515027441976e-162,0.560427571758873,0.519,0.332,8.16854365923946e-158,"Kidney","RERE","Up","RERE"
"ARID1B",1.95054115416436e-120,0.447777081627859,0.397,0.246,1.23978346299841e-115,"Kidney","ARID1B","No",NA
"RORA.1",3.15686734376121e-133,0.424698422128649,0.368,0.216,2.00653645236807e-128,"Kidney","RORA","No",NA
"ZNF521",2.31804246342068e-144,0.41391366446086,0.384,0.221,1.47337097017482e-139,"Kidney","ZNF521","No",NA
"TCF12.4",6.90254495257608e-104,0.36015005286598,0.487,0.325,4.38732659730689e-99,"Kidney","TCF12","No",NA
"NFIA.3",1.37039686919496e-55,0.223680294335348,0.448,0.325,8.71037954029008e-51,"Kidney","NFIA","No",NA
"MEF2C.3",1.49624423041096e-72,0.222999637134834,0.443,0.307,9.51027795291511e-68,"Kidney","MEF2C","No",NA
"MEF2A.2",1.23678417243816e-46,0.15946757955721,0.372,0.266,7.86112387843418e-42,"Kidney","MEF2A","No",NA
"ZEB1.4",1.54948555758937e-10,-0.114268043823012,0.401,0.328,9.84868515259382e-06,"Kidney","ZEB1","No",NA
"NFIB.5",0.0057731444625311,-0.343232578377509,0.465,0.433,1,"Kidney","NFIB","No",NA
"FOXP1.5",2.51065834068301e-85,-0.9430514089076,0.29,0.383,1.59579954792153e-80,"Kidney","FOXP1","Down","FOXP1"
"EPAS1.6",8.5320812996937e-272,-1.68546765846115,0.162,0.371,5.42307619489831e-267,"Kidney","EPAS1","Down","EPAS1"
"RERE.6",1.7596576018855e-129,0.764343470479401,0.476,0.337,1.11845596833444e-124,"Liver","RERE","Up","RERE"
"TCF12.5",4.38262243601458e-116,0.731300712442733,0.461,0.329,2.78563864655523e-111,"Liver","TCF12","Up","TCF12"
"MEIS2.2",1.83637262213457e-166,0.722561797863318,0.413,0.235,1.16721680235495e-161,"Liver","MEIS2","Up","MEIS2"
"ZBTB20.1",1.4716327841386e-60,0.546686718043735,0.369,0.272,9.35384513926335e-56,"Liver","ZBTB20","Up","ZBTB20"
"FOXP1.6",0.000283627334374525,-0.114941346798234,0.342,0.379,1,"Liver","FOXP1","No",NA
"EPAS1.7",1.36425498101681e-110,-0.90096476560759,0.201,0.365,8.67134108484098e-106,"Liver","EPAS1","Down","EPAS1"
"NFIB.6",1.53830393569327e-177,-1.0431955103799,0.225,0.446,9.77761364566002e-173,"Liver","NFIB","Down","NFIB"
"TCF4.5",7.27665750748221e-276,-1.2946069312539,0.265,0.529,4.62511627833077e-271,"Liver","TCF4","Down","TCF4"
"ZFP36L1.6",1.20504016418263e-212,-1.35710004679627,0.137,0.368,7.65935578756119e-208,"Liver","ZFP36L1","Down","ZFP36L1"
"FOXP1.7",0,1.13974836666072,0.503,0.343,0,"Lung","FOXP1","Up","FOXP1"
"DACH1.2",3.96512274312934e-270,1.0591729663851,0.37,0.271,2.52027166676044e-265,"Lung","DACH1","Up","DACH1"
"EPAS1.8",4.97244650061227e-169,0.733987510036251,0.407,0.344,3.16053672025417e-164,"Lung","EPAS1","Up","EPAS1"
"NFIA.4",2.93530029169328e-143,0.650316023518079,0.385,0.32,1.86570621840317e-138,"Lung","NFIA","Up","NFIA"
"NFIB.7",9.34265415791113e-137,0.494868260797114,0.483,0.422,5.93828440930989e-132,"Lung","NFIB","No",NA
"RERE.7",3.51798466584023e-20,0.353098154234284,0.352,0.342,2.23606623345471e-15,"Lung","RERE","No",NA
"ZFP36L1.7",5.77914097462107e-05,0.272362332069651,0.348,0.358,1,"Lung","ZFP36L1","No",NA
"TCF4.6",0.000275645279589391,0.128989542310906,0.508,0.517,1,"Lung","TCF4","No",NA
"EBF1.4",0,-1.60159299291297,0.105,0.358,0,"Lung","EBF1","Down","EBF1"
"DACH1.3",4.17116925595111e-75,1.0583745557494,0.439,0.288,2.65123689077508e-70,"Muscle","DACH1","Up","DACH1"
"MECOM.3",6.47725167781432e-51,0.865652671812693,0.378,0.257,4.11700593893556e-46,"Muscle","MECOM","Up","MECOM"
