"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CYP17A1",0,4.41589597577858,0.404,0.02,0,"Adrenal","CYP17A1"
"STAR",0,3.85835291117849,0.416,0.021,0,"Adrenal","STAR"
"EHD3",0,3.28282687263093,0.337,0.015,0,"Adrenal","EHD3"
"PPAP2A",0,3.17893754336799,0.463,0.08,0,"Adrenal","PPAP2A"
"F8",0,3.12581172626574,0.433,0.048,0,"Adrenal","F8"
"DLK1",0,2.86982217397688,0.277,0.028,0,"Adrenal","DLK1"
"DHCR24",0,2.77737306393534,0.241,0.031,0,"Adrenal","DHCR24"
"SULT2A1",0,2.6907718189879,0.188,0.004,0,"Adrenal","SULT2A1"
"KCNIP4",0,2.51828697613679,0.273,0.053,0,"Adrenal","KCNIP4"
"PDK4",0,2.39822411468023,0.182,0.024,0,"Adrenal","PDK4"
"IGF2",0,2.39335197353507,0.849,0.285,0,"Adrenal","IGF2"
"CEACAM1",0,2.38632496501976,0.208,0.021,0,"Adrenal","CEACAM1"
"BTNL9",0,2.33073512978808,0.283,0.05,0,"Adrenal","BTNL9"
"FCGR2B",0,2.29597397839868,0.174,0.01,0,"Adrenal","FCGR2B"
"CYP11A1",0,2.28719682141508,0.148,0.006,0,"Adrenal","CYP11A1"
"PPAP2B",0,2.20916715345756,0.616,0.202,0,"Adrenal","PPAP2B"
"FDX1",0,2.17481243189035,0.181,0.023,0,"Adrenal","FDX1"
"FKBP5",0,2.16348824846008,0.241,0.058,0,"Adrenal","FKBP5"
"PLAT",0,2.14728606668468,0.294,0.081,0,"Adrenal","PLAT"
"TMTC1",0,2.13163197872413,0.188,0.034,0,"Adrenal","TMTC1"
"ZBTB16",0,2.12642952338118,0.185,0.02,0,"Adrenal","ZBTB16"
"LYVE1",0,2.12290878395144,0.379,0.092,0,"Adrenal","LYVE1"
"TBXAS1",0,2.08885822329106,0.157,0.011,0,"Adrenal","TBXAS1"
"CYP21A2",0,2.04421011321486,0.117,0.003,0,"Adrenal","CYP21A2"
"DNASE1L3",0,1.96497220381772,0.174,0.028,0,"Adrenal","DNASE1L3"
"LEPREL1",0,1.87661975565535,0.151,0.023,0,"Adrenal","LEPREL1"
"APOE",0,1.87518538413496,0.193,0.059,0,"Adrenal","APOE"
"CHRM3",0,1.86243326380885,0.44,0.145,0,"Adrenal","CHRM3"
"H19",0,1.78063522127616,0.861,0.332,0,"Adrenal","H19"
"KHDRBS3",0,1.73360688831226,0.164,0.047,0,"Adrenal","KHDRBS3"
"CD74",0,1.72841117851069,0.165,0.054,0,"Adrenal","CD74"
"EDNRB",0,1.72805436841597,0.183,0.05,0,"Adrenal","EDNRB"
"LINC00478",0,1.67974895195194,0.374,0.159,0,"Adrenal","LINC00478"
"IGFBP5",0,1.65754026952531,0.419,0.113,0,"Adrenal","IGFBP5"
"ST6GALNAC3",0,1.64546969024653,0.454,0.216,0,"Adrenal","ST6GALNAC3"
"MSMO1",0,1.64163525464327,0.117,0.022,0,"Adrenal","MSMO1"
"LRRC32",0,1.63314419636119,0.229,0.094,0,"Adrenal","LRRC32"
"GALNT15",0,1.61228055180337,0.104,0.016,0,"Adrenal","GALNT15"
"SEC14L1",0,1.60801715128844,0.314,0.137,0,"Adrenal","SEC14L1"
"ITGA8",0,1.60514997907626,0.229,0.073,0,"Adrenal","ITGA8"
"CPM",0,1.58873451981951,0.122,0.026,0,"Adrenal","CPM"
"MACROD2",0,1.58366982344786,0.219,0.093,0,"Adrenal","MACROD2"
"RGS7BP",0,1.49142629213439,0.104,0.022,0,"Adrenal","RGS7BP"
"TMEM156",0,1.47061912107988,0.102,0.023,0,"Adrenal","TMEM156"
"LDLR",0,1.43991996372092,0.157,0.061,0,"Adrenal","LDLR"
"PBX1",0,1.43392160864714,0.392,0.211,0,"Adrenal","PBX1"
"ATP8A1",0,1.41568657368796,0.2,0.082,0,"Adrenal","ATP8A1"
"PEG10",0,1.39043358151514,0.133,0.05,0,"Adrenal","PEG10"
"GRB10",0,1.38836737812123,0.233,0.121,0,"Adrenal","GRB10"
